state,num_universities
Alabama,32
Alaska,5
Arizona,20
Arkansas,23
California,165
Colorado,26
Connecticut,28
Delaware,5
District of Columbia,12
Florida,76
Georgia,55
Hawaii,8
Idaho,8
Illinois,74
Indiana,53
Iowa,34
Kansas,29
Kentucky,29
Louisiana,27
Maine,17
Maryland,33
Massachusetts,74
Michigan,48
Minnesota,41
Mississippi,18
Missouri,56
Montana,10
Nebraska,21
Nevada,10
New Hampshire,14
New Jersey,48
New Mexico,10
New York,175
North Carolina,63
North Dakota,9
Ohio,74
Oklahoma,26
Oregon,29
Pennsylvania,109
Rhode Island,11
South Carolina,36
South Dakota,16
Tennessee,44
Texas,107
Utah,14
Vermont,10
Virginia,54
Washington,30
West Virginia,21
Wisconsin,39
Wyoming,3
